iter	RMSE
267	1.944185903
268	1.941320237
269	1.935527329
270	1.931906878
271	1.927273056
272	1.925582567
273	1.921283964
274	1.918223102
275	1.912172299
276	1.908416388
277	1.904152217
278	1.899412503
279	1.895750513
280	1.892905423
281	1.890143522
282	1.887046096
283	1.884694468
284	1.881055663
285	1.878135201
286	1.872653195
287	1.869422383
288	1.865420746
289	1.863007583
290	1.861532794
291	1.857695476
292	1.85486462
293	1.851317555
294	1.847664001
295	1.844998454
296	1.842512435
297	1.838493998
298	1.836066224
299	1.832785684
300	1.82601666
301	1.822318904
302	1.818658671
303	1.816275717
304	1.813758067
305	1.805952781
306	1.802086201
307	1.798573489
308	1.796286833
309	1.793054443
310	1.790880776
311	1.783900136
312	1.777298533
313	1.772691551
314	1.769728207
315	1.767828977
316	1.763832381
317	1.75990103
318	1.755590882
319	1.752569617
320	1.750016071
321	1.745000122
322	1.740958318
323	1.738711352
324	1.736861059
325	1.735148105
326	1.733067927
327	1.73000107
328	1.727596192
329	1.725107747
330	1.722317216
331	1.721097272
332	1.718952791
333	1.717479992
334	1.712209261
335	1.710995
336	1.706713117
337	1.703780203
338	1.701386784
339	1.696887823
340	1.694352518
341	1.690937987
342	1.689284288
343	1.687495235
344	1.68207971
345	1.680412832
346	1.674217487
347	1.672511058
348	1.667110909
349	1.663618972
350	1.661957212
351	1.659870081
352	1.657852254
353	1.655563112
354	1.653687421
355	1.652054133
356	1.649042887
357	1.644931813
358	1.642256854
359	1.640757713
360	1.638640353
361	1.636440359
362	1.634662478
363	1.632411324
364	1.624826553
365	1.62377353
366	1.622297139
367	1.619874465
368	1.617592285
369	1.616165094
370	1.614564488
371	1.612432712
372	1.610364811
373	1.606999591
374	1.604261073
375	1.602160682
376	1.599564458
377	1.592347215
378	1.589119697
379	1.586565809
380	1.58389983
381	1.581928093
382	1.579351895
383	1.575744296
384	1.573072357
385	1.570397235
386	1.568526168
387	1.56552214
388	1.563494214
389	1.561653431
390	1.560588185
391	1.559112322
392	1.556986196
393	1.555010011
394	1.553660099
395	1.55228648
396	1.550008247
397	1.546069828
398	1.545083057
399	1.543652884
400	1.541491862
401	1.539317555
402	1.538156106
403	1.534973035
404	1.533747718
405	1.532057303
406	1.531061098
407	1.529872231
408	1.528097192
409	1.526247946
410	1.525181269
411	1.522255279
412	1.520210881
413	1.518304663
414	1.516812755
415	1.516051608
416	1.514339122
417	1.511786817
418	1.510109806
419	1.508321885
420	1.506641216
421	1.504180247
422	1.50252333
423	1.501163291
424	1.498920425
425	1.498003337
426	1.49324538
427	1.491238829
428	1.489261588
429	1.486398881
430	1.483823746
431	1.481990582
432	1.478934935
433	1.476916694
434	1.474111479
435	1.472480332
436	1.470773905
437	1.468918331
438	1.467383755
439	1.464057548
440	1.462945915
441	1.460135286
442	1.456602399
443	1.454910988
444	1.453811173
445	1.451016649
446	1.450038943
447	1.446476742
448	1.443535482
449	1.44158707
450	1.440161805
451	1.438407375
452	1.437446458
453	1.436460453
454	1.43512801
455	1.433180385
456	1.43249514
457	1.430934826
458	1.42970499
459	1.428256193
460	1.427590359
461	1.425279267
462	1.423588317
463	1.422298591
464	1.421335676
465	1.419599266
466	1.416947102
467	1.41610066
468	1.414623942
469	1.413492676
470	1.412108771
471	1.410904889
472	1.41037524
473	1.40841462
474	1.407128737
475	1.404885567
476	1.403467879
477	1.402260332
478	1.401229034
479	1.399954067
480	1.397927427
481	1.396180966
482	1.3950407
483	1.393878438
484	1.392988208
485	1.392296847
486	1.389769131
487	1.387728645
488	1.386583915
489	1.384582199
490	1.383522928
491	1.381625195
492	1.379885487
493	1.378773096
494	1.377449905
495	1.37696978
496	1.375444837
497	1.37364495
498	1.371640607
499	1.370118702
500	1.368536047
501	1.367215782
502	1.366259124
503	1.365387934
504	1.364356715
505	1.363540564
506	1.362473058
507	1.361536128
508	1.359894404
509	1.35651742
510	1.352882937
511	1.352046441
512	1.350392791
513	1.349665393
514	1.348584592
515	1.347677741
516	1.345673741
517	1.341490845
518	1.340054449
519	1.338275872
520	1.337206033
521	1.335963483
522	1.333966923
523	1.33296693
524	1.331303315
525	1.330672634
526	1.329172614
527	1.328356979
528	1.326840678
529	1.325443372
530	1.324274839
531	1.319635373
532	1.318356576
533	1.316509052
534	1.315349819
535	1.314390791
536	1.313469921
537	1.312723828
538	1.31159489
539	1.310124297
540	1.309289208
541	1.308300847
542	1.306385878
543	1.305611039
544	1.304637577
545	1.303491092
546	1.302754335
547	1.302166403
548	1.299280838
549	1.29829393
550	1.296591139
551	1.295209495
552	1.293766719
553	1.292767447
554	1.291620364
555	1.291040885
556	1.29019042
557	1.289201379
558	1.288101692
559	1.2863973
560	1.285889325
561	1.284149797
562	1.2828759
563	1.281016891
564	1.280300696
565	1.279663906
566	1.278741153
567	1.277034446
568	1.275798343
569	1.274753364
570	1.273712061
571	1.270556258
572	1.269580453
573	1.268526949
574	1.267372802
575	1.266554027
576	1.265562624
577	1.264874546
578	1.263541612
579	1.262973779
580	1.262086949
581	1.260627079
582	1.259758712
583	1.258723843
584	1.257961037
585	1.257106146
586	1.256329059
587	1.253882435
588	1.253527891
589	1.252211465
590	1.251455001
591	1.250796925
592	1.250308054
593	1.249702444
594	1.248859988
595	1.247509323
596	1.246755676
597	1.246035095
598	1.24540422
599	1.243888998
600	1.242975955
601	1.241824728
602	1.241271783
603	1.240366369
604	1.239912141
605	1.239127795
606	1.237441562
607	1.236810106
608	1.236225042
609	1.234085771
610	1.233169576
611	1.232107451
612	1.231076532
613	1.230595204
614	1.22982621
615	1.22869987
616	1.227536378
617	1.226346891
618	1.225581588
619	1.224819489
620	1.223599302
621	1.222615414
622	1.221836415
623	1.221226384
624	1.220481334
625	1.219930743
626	1.219220347
627	1.218157449
628	1.217546232
629	1.216881503
630	1.215949209
631	1.215171349
632	1.214260158
633	1.212867324
634	1.211704487
635	1.210741858
636	1.208580805
637	1.206944495
638	1.206185918
639	1.205479517
640	1.203927056
641	1.20280688
642	1.202009106
643	1.201513557
644	1.200763644
645	1.19964371
646	1.199041456
647	1.198059914
648	1.197436311
649	1.196822663
650	1.196354145
651	1.195710178
652	1.194891104
653	1.193911755
654	1.192718073
655	1.192042568
656	1.191153636
657	1.190253529
658	1.18962725
659	1.188674556
660	1.187561716
661	1.186466724
662	1.185683002
663	1.184515029
664	1.183877054
665	1.183047586
666	1.182061785
667	1.181175236
668	1.180492873
669	1.17872708
670	1.177073939
671	1.175905633
672	1.174751746
673	1.173820905
674	1.173253011
675	1.172401972
676	1.170392958
677	1.169252986
678	1.168602198
679	1.168169525
680	1.167149152
681	1.166464362
682	1.165789979
683	1.165236138
684	1.164534017
685	1.163800226
686	1.162799603
687	1.161538852
688	1.160844834
689	1.159948858
690	1.159390721
691	1.158513438
692	1.157993847
693	1.156729097
694	1.156039779
695	1.155428827
696	1.154602468
697	1.153464728
698	1.152374206
699	1.151639682
700	1.151146947
701	1.150194583
702	1.149544544
703	1.148764604
704	1.147407138
705	1.1464802
706	1.145608103
707	1.144753366
708	1.143805478
709	1.143357149
710	1.142928414
711	1.142603868
712	1.142183439
713	1.141407629
714	1.140739075
715	1.140123015
716	1.138841451
717	1.137620097
718	1.136934332
719	1.135591637
720	1.134498446
721	1.133744576
722	1.132903903
723	1.132316809
724	1.131683908
725	1.131101228
726	1.130197248
727	1.129617776
728	1.128999705
729	1.127738871
730	1.127209707
731	1.126500934
732	1.125679781
733	1.125284537
734	1.124755578
735	1.124338815
736	1.12370912
737	1.12315736
738	1.122430274
739	1.12186938
740	1.119030876
741	1.117857232
742	1.117275771
743	1.116891448
744	1.115907823
745	1.115326896
746	1.114477881
747	1.114186271
748	1.113821486
749	1.113441453
750	1.11299619
751	1.112067297
752	1.111658582
753	1.111049139
754	1.110676748
755	1.10962177
756	1.108816346
757	1.106327105
758	1.105438037
759	1.105063414
760	1.104322209
761	1.103631077
762	1.103124906
763	1.102295055
764	1.101819369
765	1.100684888
766	1.100342308
767	1.099782149
768	1.098834662
769	1.0985436
770	1.096830108
771	1.096232479
772	1.094975511
773	1.094698372
774	1.094211531
775	1.093404943
776	1.092988523
777	1.092405724
778	1.091781264
779	1.091327133
780	1.09030253
781	1.089764444
782	1.0889217
783	1.088031733
784	1.08741858
785	1.086977328
786	1.086281998
787	1.085790962
788	1.085175115
789	1.084500232
790	1.083922607
791	1.083165279
792	1.082701157
793	1.082217566
794	1.081988257
795	1.081558654
796	1.080935046
797	1.08017312
798	1.079732904
799	1.07912303
800	1.078448047
801	1.078107883
802	1.077720089
803	1.077328225
804	1.076669221
805	1.076105593
806	1.075404898
807	1.074827494
808	1.074471326
809	1.073891447
810	1.073370356
811	1.072667044
812	1.071223707
813	1.07049296
814	1.070182357
815	1.069566284
816	1.068878408
817	1.068363362
818	1.067742753
819	1.067327128
820	1.066607227
821	1.066063206
822	1.065628
823	1.064875503
824	1.06455827
825	1.064060611
826	1.06346967
827	1.062864962
828	1.062330709
829	1.061661722
830	1.061106421
831	1.060652089
832	1.06022601
833	1.059547209
834	1.058719366
835	1.058034341
836	1.057447267
837	1.056929156
838	1.056062068
839	1.055673488
840	1.054628904
841	1.054392226
842	1.053658041
843	1.05318293
844	1.052821164
845	1.052463877
846	1.052157119
847	1.051455563
848	1.050898615
849	1.050512256
850	1.050122382
851	1.04943111
852	1.049165903
853	1.04853597
854	1.047864009
855	1.047252323
856	1.046981438
857	1.046431144
858	1.045640345
859	1.04509425
860	1.044257423
861	1.043885268
862	1.043237712
863	1.0426949
864	1.042116904
865	1.04105227
866	1.040542867
867	1.040002964
868	1.03929082
869	1.038838079
870	1.038248987
871	1.037661233
872	1.037088357
873	1.036550479
874	1.036045744
875	1.035579213
876	1.035150419
877	1.034528728
878	1.033936479
879	1.033633142
880	1.033240318
881	1.032826491
882	1.032590396
883	1.03226096
884	1.03179039
885	1.031305188
886	1.030860702
887	1.030683986
888	1.030173473
889	1.029894962
890	1.029333548
891	1.028922781
892	1.028420284
893	1.026527918
894	1.025985639
895	1.025598867
896	1.025172034
897	1.024933425
898	1.024542666
899	1.024292456
900	1.023771014
901	1.023294035
902	1.022816278
903	1.022392845
904	1.021960417
905	1.021586777
906	1.020702257
907	1.020379344
908	1.020032868
909	1.019667573
910	1.019231756
911	1.018983675
912	1.018546988
913	1.017892011
914	1.017150869
915	1.016906433
916	1.016049304
917	1.015685549
918	1.015194829
919	1.01473346
920	1.014098393
921	1.01351387
922	1.012961753
923	1.012275107
924	1.011980767
925	1.011379184
926	1.011044014
927	1.010772441
928	1.009735997
929	1.009439515
930	1.009122613
931	1.008525936
932	1.008091336
933	1.007542019
934	1.007136088
935	1.006734406
936	1.00616399
937	1.005704039
938	1.005060356
939	1.004682655
940	1.004317508
941	1.003410159
942	1.002513659
943	1.002153066
944	1.001150226
945	1.000582353
946	1.000037057
947	0.9997472633
948	0.9994895991
949	0.9989074404
950	0.9980922612
951	0.9972630921
952	0.9967230171
953	0.9962074665
954	0.9957769566
955	0.9953888206
956	0.9950401002
957	0.9946298874
958	0.9941945361
959	0.992234444
960	0.9919461155
961	0.9915444149
962	0.99096208
963	0.9902166044
964	0.9899282816
965	0.9894543338
966	0.9890588994
967	0.9886980791
968	0.9879502057
969	0.9870251139
970	0.9867764161
971	0.9864119495
972	0.9860333741
973	0.9855382014
974	0.9851540947
975	0.984432524
976	0.9838677901
977	0.9831759088
978	0.982632772
979	0.9822939506
980	0.9818329195
981	0.9813089079
982	0.9805500041
983	0.9802040476
984	0.9799637569
985	0.9796021807
986	0.9790464247
987	0.9786489642
988	0.9782948951
989	0.9775856519
990	0.9771214117
991	0.9766439608
992	0.9762291301
993	0.9759550973
994	0.9755333356
995	0.9750452618
996	0.9746883506
997	0.9743256683
998	0.9738646643
999	0.9732484705
1000	0.9727824015
1001	0.9720747235
1002	0.9716958938
1003	0.9713291812
1004	0.9707310651
1005	0.9702829483
1006	0.9697825502
1007	0.9693917028
1008	0.9689648642
1009	0.9683816024
1010	0.9680122676
1011	0.9676460353
1012	0.967242306
1013	0.9670544484
1014	0.966682242
1015	0.9662988407
1016	0.9659366661
1017	0.9652100173
1018	0.9649260677
1019	0.9643896356
1020	0.9640272527
1021	0.963694748
1022	0.9632018082
1023	0.9627337219
1024	0.9624409658
1025	0.9618835147
1026	0.9613306054
1027	0.960973391
1028	0.9604563197
1029	0.96005262
1030	0.9597270443
1031	0.9591779542
1032	0.9587308785
1033	0.9581120762
1034	0.957820764
1035	0.9572122325
1036	0.9567536785
1037	0.9561162085
1038	0.9557191453
1039	0.9554483327
1040	0.9548358291
1041	0.9544337348
1042	0.9541032625
1043	0.9534410268
1044	0.952984651
1045	0.9523212336
1046	0.9519976147
1047	0.9515115836
1048	0.9510689065
1049	0.9506500403
1050	0.9499733717
1051	0.949489839
1052	0.9491563911
1053	0.9487059605
1054	0.9481371193
1055	0.9474907841
1056	0.9471067356
1057	0.9463522513
1058	0.9460002274
1059	0.9458316823
1060	0.9455707766
1061	0.9453049942
1062	0.944808284
1063	0.9443234342
1064	0.9440943495
1065	0.9434697931
1066	0.9429891087
1067	0.9425423794
1068	0.9421633674
1069	0.9416339458
1070	0.941248605
1071	0.9408187377
1072	0.9402007231
1073	0.9398705384
1074	0.9395210094
1075	0.9391969459
1076	0.9388477654
1077	0.9385331433
1078	0.9382221329
1079	0.9376566196
1080	0.9373056003
1081	0.9370836666
1082	0.9366936528
1083	0.9365387078
1084	0.9355546119
1085	0.9350894899
1086	0.9348058641
1087	0.9344987897
1088	0.9340167186
1089	0.9336519592
1090	0.9330530255
1091	0.9327491707
1092	0.9320885414
1093	0.9318440757
1094	0.9314999351
1095	0.9311425881
1096	0.9307939911
1097	0.9304454614
1098	0.9302045408
1099	0.9299590222
1100	0.9296733609
1101	0.9294137095
1102	0.9288298786
1103	0.9285147304
1104	0.9279959082
1105	0.9276282788
1106	0.9272776813
1107	0.9268524709
1108	0.9264420565
1109	0.9255496921
1110	0.925304798
1111	0.9249028651
1112	0.9246837242
1113	0.9243385364
1114	0.9239563153
1115	0.9236509769
1116	0.9232681194
1117	0.9229226138
1118	0.922458486
1119	0.9221722394
1120	0.9218169574
1121	0.9214904696
1122	0.9211515199
1123	0.9207639849
1124	0.9202852024
1125	0.9199735442
1126	0.9196878514
1127	0.9193396532
1128	0.9190595993
1129	0.9182815016
1130	0.9177135739
1131	0.917427329
1132	0.9169437312
1133	0.9165933122
1134	0.9163622424
1135	0.916111079
1136	0.9158000108
1137	0.9154766237
1138	0.9150795204
1139	0.9146802763
1140	0.9143330886
1141	0.9138971718
1142	0.9135939087
1143	0.9131893802
1144	0.912790258
1145	0.9123834981
1146	0.9119180596
1147	0.9114922788
1148	0.9109223914
1149	0.9105429884
1150	0.9102260006
1151	0.9098255784
1152	0.9094244137
1153	0.9089421679
1154	0.9087660848
1155	0.9083530642
1156	0.9081271009
1157	0.9078991037
1158	0.9075464879
1159	0.9071918537
1160	0.9069952359
1161	0.906451587
1162	0.9061099166
1163	0.9058108139
1164	0.9053455446
1165	0.9049654853
1166	0.9045726237
1167	0.9041003728
1168	0.9038548851
1169	0.903600104
1170	0.9031448563
1171	0.9028938977
1172	0.9024494672
1173	0.9019717402
1174	0.9016900766
1175	0.9012980481
1176	0.9010815987
1177	0.9007617216
1178	0.9003204128
1179	0.8999942151
1180	0.8996639871
1181	0.8992756605
1182	0.898865112
1183	0.8985815205
1184	0.8982176606
1185	0.8979142004
1186	0.8975157478
1187	0.8972861388
1188	0.89676798
1189	0.896563604
1190	0.8960566889
1191	0.8958572254
1192	0.8955249288
1193	0.8953455918
1194	0.8949574912
1195	0.894477619
1196	0.8941668247
1197	0.8937387534
1198	0.8933834579
1199	0.8930409759
1200	0.8926831762
1201	0.8923321719
1202	0.8919509692
1203	0.8915235535
1204	0.8912483212
1205	0.8910856302
1206	0.8906936752
1207	0.8903807993
1208	0.8899709436
1209	0.8896267434
1210	0.8893895118
1211	0.8891131296
1212	0.8887660697
1213	0.8885523744
1214	0.8882938686
1215	0.8878436338
1216	0.8874617579
1217	0.8871426536
1218	0.8866832351
1219	0.8863642514
1220	0.8861938209
1221	0.8858743865
1222	0.8855691535
1223	0.885304202
1224	0.8850056928
1225	0.8846081886
1226	0.8843250427
1227	0.8840497047
1228	0.8835628229
1229	0.8833416468
1230	0.8828595173
1231	0.8825904576
1232	0.8822675228
1233	0.8817521132
1234	0.8815564713
1235	0.8813106667
1236	0.8809922308
1237	0.8806971551
1238	0.880312115
1239	0.8799970276
1240	0.8795752687
1241	0.8791785049
1242	0.8789089098
1243	0.8786215076
1244	0.8780873081
1245	0.8776701388
1246	0.8773303833
1247	0.8769950741
1248	0.8767376579
1249	0.8764013632
1250	0.8760436386
1251	0.8753841422
1252	0.8751766804
1253	0.8748696397
1254	0.874282448
1255	0.8740511183
1256	0.873867989
1257	0.8735742752
1258	0.8731944607
1259	0.8729446352
1260	0.8725906767
1261	0.8724253892
1262	0.8721683835
1263	0.8718605381
1264	0.871393898
1265	0.8711039029
1266	0.8707166225
1267	0.8705039697
1268	0.8700894711
1269	0.8699169047
1270	0.8695600474
1271	0.8693664869
1272	0.868995802
1273	0.8687073586
1274	0.8683400578
1275	0.8680814079
1276	0.867914333
1277	0.8676797847
1278	0.8671785054
1279	0.866963068
1280	0.8667281007
1281	0.8664964324
1282	0.866093301
1283	0.8659064582
1284	0.8657309858
1285	0.8654839453
1286	0.8651896311
1287	0.8649462671
1288	0.8644680049
1289	0.8641413488
1290	0.8638066223
1291	0.8636049692
1292	0.863278203
1293	0.8629142552
1294	0.8626290312
1295	0.8623108544
1296	0.8619558704
1297	0.8616377705
1298	0.8613893209
1299	0.861071273
1300	0.8606932373
1301	0.8605063871
1302	0.8602324428
1303	0.8597967178
1304	0.85954075
1305	0.8591561913
1306	0.8588524618
1307	0.8582087609
1308	0.8580206708
1309	0.8577997162
1310	0.857545084
1311	0.8571930941
1312	0.8568664402
1313	0.8565169674
1314	0.8563431245
1315	0.8559739972
1316	0.8557301007
1317	0.855500147
1318	0.8551023065
1319	0.8548895914
1320	0.854615705
1321	0.8542656918
1322	0.8540773875
1323	0.853783832
1324	0.8534807454
1325	0.8531954306
1326	0.8528010073
1327	0.8524993785
1328	0.8522818444
1329	0.8521249351
1330	0.8517120647
1331	0.851351831
1332	0.8511281834
1333	0.8509239897
1334	0.8507064491
1335	0.850332382
1336	0.8500688084
1337	0.8498255549
1338	0.8495597914
1339	0.8493159694
1340	0.8490466204
1341	0.8486792514
1342	0.8484478338
1343	0.848131489
1344	0.847693751
1345	0.8473868419
1346	0.8470275767
1347	0.8468291508
1348	0.8465327089
1349	0.8462263029
1350	0.8459848608
1351	0.8457374647
1352	0.8453753786
1353	0.8452074309
1354	0.8449755968
1355	0.8446949167
1356	0.8442103532
1357	0.8440832946
1358	0.8438310723
1359	0.8436449282
1360	0.8434124332
1361	0.8432012586
1362	0.8428583801
1363	0.842622545
1364	0.8422020109
1365	0.8418770234
1366	0.8416297933
1367	0.8414669509
1368	0.8411656881
1369	0.8409293257
1370	0.840802308
1371	0.8406498155
1372	0.8403955458
1373	0.840194621
1374	0.8399427487
1375	0.8397852027
1376	0.8395070202
1377	0.8392452977
1378	0.8389222024
1379	0.8386523655
1380	0.8384290558
1381	0.8381482279
1382	0.8379203753
1383	0.8374190017
1384	0.8371526035
1385	0.8370046078
1386	0.8366015949
1387	0.8363218805
1388	0.8361017326
1389	0.8357942139
1390	0.8353505024
1391	0.8350469583
1392	0.8347663673
1393	0.8345001453
1394	0.8342574018
1395	0.8339320568
1396	0.8335060407
1397	0.8333162918
1398	0.8330547654
1399	0.8326498704
1400	0.8324429373
1401	0.8321492969
1402	0.8318535516
1403	0.8316287162
1404	0.8313639378
1405	0.8311940134
1406	0.8309158312
1407	0.8306968728
1408	0.8304333672
1409	0.8301733252
1410	0.8298293401
1411	0.8294197854
1412	0.8291452519
1413	0.8289428059
1414	0.828750515
1415	0.8284188257
1416	0.8281386721
1417	0.8279345573
1418	0.8277586266
1419	0.8276371615
1420	0.8273171984
1421	0.826960194
1422	0.8267590094
1423	0.8264712064
1424	0.8262360396
1425	0.8258650658
1426	0.8255443951
1427	0.8253322615
1428	0.8251942089
1429	0.8250220076
1430	0.8248208743
1431	0.8245599353
1432	0.8243088865
1433	0.8239656366
1434	0.8237692975
1435	0.8234191831
1436	0.8230873273
1437	0.8229361529
1438	0.8226345327
1439	0.8224551355
1440	0.8222182558
1441	0.8220109335
1442	0.8218136954
1443	0.8216214503
1444	0.8213794897
1445	0.8211222852
1446	0.8209276022
1447	0.820644238
1448	0.8203013945
1449	0.8200127367
1450	0.8197683499
1451	0.8195692689
1452	0.8193603177
1453	0.8191452558
1454	0.8189645551
1455	0.8186910446
1456	0.8184582021
1457	0.8182399366
1458	0.8178334685
1459	0.8176676347
1460	0.8172885629
1461	0.8170818705
1462	0.8167546475
1463	0.816484869
1464	0.8162700419
1465	0.8156238182
1466	0.8153311643
1467	0.8151223863
1468	0.8148966708
1469	0.8147206191
1470	0.8144496701
1471	0.8141667556
1472	0.8137638005
1473	0.813544236
1474	0.8133310173
1475	0.8131753976
1476	0.8128518068
1477	0.8126220856
1478	0.8124543486
1479	0.8122345894
1480	0.8120562555
1481	0.8118560686
1482	0.8114975743
1483	0.8113382004
1484	0.811214958
1485	0.8110076746
1486	0.8108507617
1487	0.8106579908
1488	0.810489796
1489	0.8103251542
1490	0.8100505769
1491	0.8097576612
1492	0.8095547554
1493	0.8092889111
1494	0.8090206812
1495	0.8085827451
1496	0.8083058944
1497	0.8082073056
1498	0.8079906634
1499	0.8078525984
